Designator,Mid X,Mid Y,Layer,Rotation
3.3V,7.79mm,24.39mm,Top,90
5V,7.84mm,22.52mm,Top,90
24V,7.87mm,18.59mm,Top,90
A1,58.14mm,24.26mm,Top,90
A2,58.19mm,22.73mm,Top,90
B1,58.09mm,26.72mm,Top,90
B2,58.06mm,29.31mm,Top,90
BOOT,39.65mm,45.06mm,Top,0
C1,31.37mm,26.79mm,Top,90
C2,36.91mm,26.41mm,Top,90
C3,34.89mm,43.51mm,Top,90
C4,33.93mm,43.52mm,Top,90
C5,24.99mm,34.06mm,Top,180
C6,36.32mm,30.66mm,Top,0
C7,36.03mm,37.94mm,Top,0
C8,36.47mm,34.87mm,Top,0
C9,25.44mm,39.26mm,Top,180
C10,30.89mm,43.53mm,Top,90
C11,36.22mm,31.87mm,Top,0
C12,29.92mm,43.56mm,Top,90
C13,36.02mm,38.98mm,Top,0
C14,22.48mm,31.68mm,Top,0
C15,17.42mm,31.51mm,Top,270
C16,22.5mm,30.73mm,Top,0
C17,16.46mm,31.51mm,Top,270
C18,16.mm,20.47mm,Top,90
C19,14.42mm,20.55mm,Top,90
C20,22.89mm,21.91mm,Top,0
C21,25.71mm,22.75mm,Top,180
C22,26.15mm,20.13mm,Top,90
C23,22.86mm,18.2mm,Top,180
C24,30.6mm,45.24mm,Top,0
C25,37.8mm,40.23mm,Top,180
C26,16.61mm,40.13mm,Top,90
C27,24.77mm,36.96mm,Top,270
C28,45.95mm,29.64mm,Top,0
C29,46.08mm,30.73mm,Top,180
C30,47.24mm,19.02mm,Top,0
C31,47.24mm,19.99mm,Top,0
C32,42.37mm,30.23mm,Top,0
C33,51.08mm,35.53mm,Top,0
C34,42.98mm,22.17mm,Top,180
C38,51.77mm,13.11mm,Top,0
C39,46.94mm,14.89mm,Top,270
C40,39.34mm,38.1mm,Top,0
C42,19.86mm,9.55mm,Top,180
C43,9.4mm,43.03mm,Top,90
C44,17.7mm,7.7mm,Top,270
C45,39.57mm,9.17mm,Top,0
D1,17.5mm,43.71mm,Top,0
D2,32.51mm,46.63mm,Top,0
D3,15.mm,28.92mm,Top,90
D4,42.42mm,37.95mm,Top,270
D6,22.96mm,8.18mm,Top,90
D7,16.31mm,46.48mm,Top,90
D8,42.65mm,8.05mm,Top,90
F1,29.46mm,48.54mm,Top,180
FD4,55.15mm,9.11mm,Top,0
FD5,8.9mm,8.55mm,Top,0
FD6,41.62mm,51.43mm,Top,0
GND,7.84mm,20.3mm,Top,0
HE0,58.27mm,18.01mm,Top,0
M1,40.86mm,19.08mm,Top,90
M2,26.06mm,8.1mm,Top,270
M3,9.53mm,47.52mm,Top,90
M4,45.69mm,8.08mm,Top,270
P1,20.62mm,20.09mm,Top,270
P2,19.73mm,32.11mm,Top,0
R1,35.72mm,40.42mm,Top,90
R2,34.69mm,40.43mm,Top,270
R3,35.26mm,29.01mm,Top,180
R4,34.09mm,30.02mm,Top,180
R5,16.84mm,18.35mm,Top,90
R6,17.02mm,21.93mm,Top,90
R7,24.94mm,18.2mm,Top,0
R8,23.73mm,19.47mm,Top,0
R9,23.72mm,20.52mm,Top,180
R10,31.9mm,43.28mm,Top,270
R11,32.92mm,43.28mm,Top,270
R12,35.89mm,45.54mm,Top,90
R13,35.89mm,43.66mm,Top,270
R14,36.75mm,41.83mm,Top,90
R15,14.94mm,30.92mm,Top,90
R16,14.99mm,34.62mm,Top,270
R17,30.56mm,29.82mm,Top,0
R18,30.56mm,28.8mm,Top,0
R19,29.03mm,25.37mm,Top,0
R20,26.37mm,31.6mm,Top,180
R21,45.97mm,31.85mm,Top,0
R22,42.29mm,24.33mm,Top,270
R23,45.97mm,33.02mm,Top,180
R24,43.51mm,21.16mm,Top,0
R25,43.54mm,20.14mm,Top,0
R26,50.04mm,28.19mm,Top,270
R27,50.09mm,22.99mm,Top,90
R28,36.mm,50.41mm,Top,0
R30,47.55mm,17.04mm,Top,0
R31,47.52mm,18.03mm,Top,0
R33,45.06mm,37.87mm,Top,180
R34,45.06mm,39.93mm,Top,180
R35,45.06mm,38.91mm,Top,180
R36,39.12mm,39.09mm,Top,180
R37,52.5mm,17.17mm,Top,270
R40,9.35mm,27.61mm,Top,270
R41,9.37mm,30.07mm,Top,270
R44,20.04mm,7.09mm,Top,180
R45,20.04mm,8.23mm,Top,180
R46,13.92mm,46.08mm,Top,180
R47,12.98mm,47.4mm,Top,180
R48,40.01mm,6.65mm,Top,180
R49,40.01mm,7.75mm,Top,180
RST,39.65mm,42.21mm,Top,180
SJ1,7.32mm,36.32mm,Top,270
SJ2,42.93mm,45.03mm,Top,180
SJ3,28.88mm,51.18mm,Top,180
TH0,57.58mm,39.98mm,Top,0
U$1,19.61mm,26.7mm,Top,0
U$4,15.93mm,37.36mm,Top,180
U1,31.11mm,35.5mm,Top,0
U2,24.94mm,43.36mm,Top,270
U3,20.9mm,37.31mm,Top,90
U5,27.64mm,28.47mm,Top,270
U6,50.27mm,16.61mm,Top,0
U7,45.75mm,25.45mm,Top,180
USB,22.89mm,50.15mm,Top,180
X1,34.06mm,26.7mm,Top,0
